,ID_Composant,REF,DESCRIPTION,FAMILLE,S_FAMILLE,GAMME,MODELE,HSP,MARQUE,NATURE,FONCTION,TYPE_EQP,PUHT,NBU,DOS_IMG,DOS_DOC,FIC_IMG,FIC_DOC,MODULE,NBPORTS,EQP,INFOTEL _Role,INFOTEL_Famille,INFOTEL_Composante,INFOTEL_Nomenclature,ACTIF,DATE_CREATION,INFOTEL_Carte_Nomenclature,OS
114,8DG59245AA,AHPHG,High Power High Gain DWDM Amplifier,WDM,PSS,1830,AHPHG,HARDWARE,ALCATEL-LUCENT,CARTE,AMPLIFIERS,PSS,4101,1.0,1.0,,8DG59245AA.png,,,,,NoAXE,DWDM Multiplexer,W,AMPLIFIERS,False,,,
115,8DG59245AB,8DG59245AB,AHPHG - HPOWER HGAIN DWDM AMPLIFIER,WDM,PSS,1830,AHPHG,HARDWARE,ALCATEL-LUCENT,CARTE,AMPLIFIERS,PSS,0,1.0,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
116,8DG59248AA,SFD44,44 Channel Optical Mux/Demux,WDM,PSS,1830,SFD44,HARDWARE,ALCATEL-LUCENT,ACCESSOIRE,FILTERS,PSS,2365,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
117,8DG59267AB,8DG59267AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
118,8DG59269AB,8DG59269AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
119,8DG59319AA,8DG59319AA,CENTRAL OFFICE SHELF,WDM,PSS,1830,,HARDWARE,ALCATEL-LUCENT,MODULE,,PSS,0,,,,,,,,,,,,,False,,,
120,8DG59423AA,DMSMF010,DCM  - SMF 10km,WDM,PSS,1830,DMSMF010,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,296,1.0,1.0,,8DG59423AA.png,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
121,8DG59424AA,DMSMF020,DCM  -SMF 20km,WDM,PSS,1830,DMSMF020,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,320,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
122,8DG59425AA,DMSMF030,DCM - SMF 30km,WDM,PSS,1830,DMSMF030,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,362,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
123,8DG59426AA,DMSMF040,DCM - SMF 40km,WDM,PSS,1830,DMSMF040,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,398,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
124,8DG59427AA,DMSMF050,DCM - SMF 50km,WDM,PSS,1830,DMSMF050,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,453,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
125,8DG59428AA,DMSMF060,DCM - SMF 60km,WDM,PSS,1830,DMSMF060,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,498,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
