,ID_EQP,ID_Composant,CODNAT,MODELE,LG,RESERVE,INFOTEL,ORDRE,DOMAINE,TYPE,HOSTNAME,AXE_WDM,DATE_CREATION,USER,Localisation_CUR,Equipement_CUR,OS,Type2
5351,SSGE5-AP1,AIR-AP1832I-E-K9,SSGE5,AP 1832I,13.0,,E-AP 1832I-005352,5352.0,LAN,AP1,E-SSGE5-LAN-WAP01-005352,,2022-07-20 15:51:33,,,17BD7AFE414948958221AF772C92B7D1,,AP1
5352,MORIH-FED2,CGS-2520-16S-8PC,MORIH,CGS2520-16S,53.0,,E-CGS2520-16S-009044,9044.0,LAN,FED2,E-MORIH-LAN-FED2-009044,,2020-06-08 09:35:41,,,F20A5E49483642D8AFF65ADD57457B16,Version 15.2(3)E1,FED2
5353,SETIE-FED1,CGS-2520-16S-8PC,SETIE,CGS2520-16S,1.0,,E-CGS2520-16S-008996,8996.0,LAN,FED1,E-SETIE-LAN-FED1-008996,,2020-06-11 18:02:35,,,414D2A0DD4994DD6B69AFEB855426256,Version 15.2(3)E1,FED1
5354,SETIE-FED2,CGS-2520-16S-8PC,SETIE,CGS2520-16S,14.0,,E-CGS2520-16S-008997,8997.0,LAN,FED2,E-SETIE-LAN-FED2-008997,,2020-06-11 18:02:35,,,2569B4D9B5CC490AB5D5EAC6018A11D2,Version 15.2(3)E1,FED2
5355,SETIE-CPE1,LBB320,SETIE,RTR OPERE,27.0,,E-RTR OPERE-008615,8615.0,WOP,CPE1,E-SETIE-WOP-CPE1-008615,,2020-06-11 18:02:35,,,E7BADFD6914F49CCAE1F24C20C26A6C0,,CPE1
5356,SETIE-CPE2,LBB140,SETIE,RTR OPERE,28.0,,E-RTR OPERE-008616,8616.0,WOP,CPE2,E-SETIE-WOP-CPE2-008616,,2020-06-11 18:02:35,,,FC38337C2B054093B94C1291891B2C8A,,CPE2
5357,SETIE-MOD1,MODSATX3,SETIE,MODEM SAT,29.0,,E-MODEM SAT-005161,5161.0,WOP,MOD1,E-SETIE-WOP-MOD1-005161,,2020-06-11 18:02:35,,,163B34E2BF754D0CB9F3004C5DD80FB8,,MOD1
5358,TONNE-FED1,CGS-2520-16S-8PC,TONNE,CGS2520-16S,21.0,,E-CGS2520-16S-007379,7379.0,LAN,FED1,E-TONNE-LAN-FED1-007379,,2019-09-13 15:50:31,,,A55B776ACBD64590A4095DFF73EE2922,Version 15.2(3)E1,FED1
5359,ORCH5-AP1,AIR-AP1832I-E-K9,ORCH5,AP 1832I,35.0,,E-AP 1832I-005224,5224.0,LAN,AP1,E-ORCH5-LAN-WAP01-005224,,2020-05-20 18:29:54,,,64BDC9497CB34354ADC6B35939E6CDFF,,AP1
5360,TRESC-FED1,CGS-2520-16S-8PC,TRESC,CGS2520-16S,1.0,,E-CGS2520-16S-008889,8889.0,LAN,FED1,E-TRESC-LAN-FED1-008889,,2020-09-02 15:18:13,,,17AEFC50A97040318D55A16BB2F2809B,Version 15.2(3)E1,FED1
5361,TRESC-CPE1,LBB210,TRESC,RTR OPERE,12.0,,E-RTR OPERE-008596,8596.0,WOP,CPE1,E-TRESC-WOP-CPE1-008596,,2020-09-02 15:18:13,,,24F9EB53A25A4DE48396CA790922912A,,CPE1
5362,TRESC-AP1,AIR-AP1832I-E-K9,TRESC,AP 1832I,13.0,,E-AP 1832I-005232,5232.0,LAN,AP1,E-TRESC-LAN-WAP01-005232,,2020-09-02 15:18:13,,,A1180806765E406583B9CA21F3E4564F,,AP1
5363,TRESC-OND1,INF-OND-1200,TRESC,AXILEK-OND230V,17.0,,E-AXILEK-OND230V-004282,4282.0,AES,OND1,E-TRESC-AES-OND1-004282,,2020-09-02 15:18:13,,,,,OND1
5364,SETIE-AP1,AIR-AP1832I-E-K9,SETIE,AP 1832I,30.0,,E-AP 1832I-005397,5397.0,LAN,AP1,E-SETIE-LAN-WAP01-005397,,2020-06-11 18:02:35,,,9A78D2348FA74399B37F430A09AC396B,,AP1
5365,R.ORA-AP1,AIR-AP1832I-E-K9,R.ORA,AP 1832I,13.0,,E-AP 1832I-005211,5211.0,LAN,AP1,E-R.ORA-LAN-WAP01-005211,,2022-07-20 14:37:08,,,F548441560364DA49E5CC80A9AF03859,,AP1
5366,KIR-FED1,CGS-2520-16S-8PC,KIR,CGS2520-16S,1.0,,E-CGS2520-16S-010670,10670.0,LAN,FED1,E-KIR-LAN-FED1-010670,,2022-08-02 15:20:59,,,8A40CAE46C504D6480FF920C672C0E71,Version 15.2(3)E1,FED1
5367,R.ORA-OND1,INF-OND-1200,R.ORA,AXILEK-OND230V,17.0,,E-AXILEK-OND230V-004277,4277.0,AES,OND1,E-R.ORA-AES-OND1-004277,,2022-07-20 14:37:08,,,,,OND1
5368,R.ORA-RED1,INF-AES-1200,R.ORA,ELTEK-RED48V,18.0,,E-ELTEK-RED48V-067815,67815.0,AES,RED1,E-R.ORA-AES-RED1-067815,,2022-07-20 14:37:08,,,60633345EFBD484C91C3D9E88F94E284,Eltek ferme dՎnergie (220->48) Eltek Flatpack S 1U Systems 48V (Ref.constructeur : CTOS0301.xxx / OS = 2.5.2sw),RED1
5369,R.YON-AP1,AIR-AP1832I-E-K9,R.YON,AP 1832I,16.0,,E-AP 1832I-002486,2486.0,LAN,AP1,E-R.YON-LAN-WAP01-002486,,2022-07-20 14:38:16,,,30EF4247E4F64F30B663AE6B36984484,,AP1
5370,SETIE-OND1,INF-OND-1200,SETIE,AXILEK-OND230V,34.0,,E-AXILEK-OND230V-004285,4285.0,AES,OND1,E-SETIE-AES-OND1-004285,,2020-06-11 18:02:35,,,,,OND1
5371,VERN-PE1,3HE06791AA,VERN,7705SAR-8,1.0,,E-7705SAR-8-008591,8591.0,WPR,PE1,E-VERN-WPR-PE1-008591,,2020-07-08 14:02:42,,,37AF900389F5403DAAC039E660EC9AFA,TiMOS-B-8.0.R7,PE1
5372,C.FE5-FED1,WS-C3650-24TS-E,C.FE5,C3650-24TS,1.0,E,E-C3650-24TS-009021,9021.0,LAN,FED1,E-C.FE5-LAN-FED1E-009021,,2022-04-04 21:12:36,,,,Version 03.03.05.SE,FED1E
5373,VERN-FED1,CGS-2520-16S-8PC,VERN,CGS2520-16S,20.0,,E-CGS2520-16S-008884,8884.0,LAN,FED1,E-VERN-LAN-FED1-008884,,2020-07-08 14:02:42,,,88EF0E7EF8AD4E6E80AFBB997A84D7DA,Version 15.2(3)E1,FED1
5374,VERN-AP1,AIR-AP1832I-E-K9,VERN,AP 1832I,33.0,,E-AP 1832I-005225,5225.0,LAN,AP1,E-VERN-LAN-WAP01-005225,,2020-07-08 14:02:42,,,40AC0D1277084F75B8F917A7CA2D9E54,,AP1
5375,SSAU5-OND1,INF-OND-1200,SSAU5,AXILEK-OND230V,17.0,,E-AXILEK-OND230V-000048,48.0,AES,OND1,E-SSAU5-AES-OND1-000048,,2019-07-29 16:49:45,,,79C63E69D7CA4348AD8E34AB78AD717D,,OND1
5376,LINXE-FED1,CGS-2520-16S-8PC,LINXE,CGS2520-16S,20.0,,E-CGS2520-16S-009000,9000.0,LAN,FED1,E-LINXE-LAN-FED1-009000,,2020-02-03 14:13:38,,,02E2DB027EA048F6B86BACB2AFD7D4A6,Version 15.2(3)E1,FED1
5377,LINXE-AP1,AIR-AP1832I-E-K9,LINXE,AP 1832I,33.0,,E-AP 1832I-005400,5400.0,LAN,AP1,E-LINXE-LAN-WAP01-005400,,2020-02-03 14:13:38,,,6AE643E8D4CC41CF950CCA1FB05A5EC5,,AP1
5378,LICES-FED1,CGS-2520-16S-8PC,LICES,CGS2520-16S,1.0,,E-CGS2520-16S-009016,9016.0,LAN,FED1,E-LICES-LAN-FED1-009016,,2020-09-14 10:09:40,,,AF20F6D96D78431C97CCC47F9F7E8CD6,Version 15.2(3)E1,FED1
5379,LICES-CPE1,LBB320,LICES,RTR OPERE,13.0,,E-RTR OPERE-008630,8630.0,WOP,CPE1,E-LICES-WOP-CPE1-008630,,2020-09-14 10:09:40,,,8D6F523AC48249458E1D7BEFFEAE9D40,,CPE1
5380,MASQU-PE1,3HE06791AA,MASQU,7705SAR-8,1.0,,E-7705SAR-8-008620,8620.0,WPR,PE1,E-MASQU-WPR-PE1-008620,,2022-07-19 23:47:11,,,9B6A911F69254B7195712AB91FEE15CD,TiMOS-B-8.0.R7,PE1
5381,MASQU-FED1,CGS-2520-16S-8PC,MASQU,CGS2520-16S,23.0,,E-CGS2520-16S-009001,9001.0,LAN,FED1,E-MASQU-LAN-FED1-009001,,2022-07-19 23:47:11,,,9363CABBF3F84AE6851A3B293318DF4D,Version 15.2(3)E1,FED1
